Name,Latitude,Longitude,RouteDesignator,Procedure,FRA
UPDIN,43°22'44''N,009°54'11''E,"M621, M729",NULL,FRA(I)
UPDUT,41°15'04''N,008°50'53''E,NULL,NULL,FRA(I)
UPETI,38°56'46''N,015°53'22''E,NULL,"CA star, CA ial",
UPGAV,45°21'11''N,010°39'34''E,NULL,"PX star, PO star, PO ial",
UPIRO,45°37'33''N,012°44'33''E,T132,NULL,FRA(I)
UPLAD,40°13'45''N,016°12'38''E,Q865,NULL,
UPLIT,36°30'00''N,013°32'23''E,"M215, M732, N573",NULL,FRA(I) - FRA Malta only
UPONO,42°50'57''N,012°00'17''E,"Q411, Z806",NULL,FRA(I)
UPOXE,40°50'28''N,008°25'00''E,NULL,"EA star, EA ial",
UPXUF,45°35'30''N,011°08'38''E,"L612, Y480",NULL,
URAVA,46°24'58''N,013°31'56''E,P125,NULL,
URCAH,38°19'28''N,015°09'27''E,T111,CR sid,
URCIM,41°16'22''N,016°50'00''E,NULL,BD star,
UREXE,40°55'00''N,009°40'36''E,"Q125, T1",NULL,FRA(I)
URIPI,41°52'33''N,015°11'05''E,M872,"BF star, BF sid",FRA(I)
URRUC,40°59'23''N,014°30'41''E,NULL,RN ial,
URUXO,42°06'57''N,012°22'16''E,NULL,RF star,
USANO,43°44'03''N,007°42'50''E,Y15,MG star,
USCIP,39°23'28''N,009°25'03''E,NULL,EE star,
USEPI,40°26'47''N,008°23'56''E,"M732, Q123, Y567, Z924",NULL,FRA(I)
USIRU,42°02'51''N,011°44'28''E,NULL,RF star,
USOXI,38°30'32''N,013°07'46''E,NULL,CJ sid,
UTAME,43°29'02''N,014°13'58''E,"L613, Q772, T292, T415, Y11",NULL,FRA(I)
UTAPO,42°22'32''N,014°10'22''E,"M736, Z924",NULL,FRA(I)
UTENO,43°15'03''N,013°40'56''E,"M736, Y140",NULL,FRA(I)
UTUVI,43°39'48''N,010°58'47''E,NULL,"RQ star, RQ ial",
UVIBE,46°14'35''N,011°12'40''E,NULL,"DT ial, KC ial",
UVNON,45°16'55''N,010°53'33''E,NULL,"PX star, PO star",
UVOKA,41°22'47''N,016°51'49''E,L612,"BD star, BD sid",FRA(I)
UVOKI,44°30'41''N,010°43'21''E,M859,NULL,FRA(I)
UVREF,38°50'12''N,017°15'38''E,NULL,"BC ial, BC star",
UXUPI,38°18'47''N,013°00'49''E,NULL,"CJ star, CJ ial",
UXUTA,37°56'06''N,014°41'25''E,Q789,CC star,
VABMO,43°55'18''N,011°37'27''E,"M730, M872",NULL,FRA(I)
VABOK,45°17'37''N,011°16'41''E,"P131, Q561","PO sid, PX sid",FRA(I)
VACCE,38°42'11''N,015°05'19''E,Q58,NULL,
VADIK,45°38'24''N,011°28'17''E,"L615, M726",NULL,FRA(I)
VADKI,42°33'32''N,014°20'10''E,NULL,"BP star, BP ial",
VAFRA,45°46'28''N,008°33'42''E,NULL,MC star. MC ial,
VAGPE,41°53'08''N,012°32'45''E,NULL,RF ial,
VAGUX,45°22'18''N,010°11'19''E,NULL,ME star,
VAGVU,40°35'43''N,009°45'47''E,NULL,EO sid,
VAKAB,42°11'06''N,012°20'32''E,NULL,RF star,
VAKON,45°28'41''N,010°00'00''E,"Q702, T484","MC sid, ML sid",FRA(I)
VAKOR,38°50'10''N,014°09'13''E,"N982, Q152, Q789",NULL,FRA(I)
VALMA,41°34'38''N,011°25'17''E,"L5, L865","RA star, RF star",FRA(I)
VAMTU,44°08'44''N,007°37'31''E,"M859, M984, Q984",NULL,FRA(X)
VAPEG,38°24'14''N,012°57'36''E,NULL,CJ star,
VAPUP,43°03'21''N,015°12'20''E,L5,NULL,FRA(X)
VARAL,40°00'51''N,014°38'29''E,P748,"RI star, RI sid",FRA(I)
VARAP,44°19'58''N,009°10'59''E,NULL,"MJ star, MJ ial",
VAVAX,40°39'25''N,009°32'38''E,Q125,"EO star, EO sid",FRA(I)
VAXOT,36°50'49''N,012°07'37''E,NULL,"CG star, CG ial",
VEBOX,41°09'00''N,015°31'47''E,L81,NULL,FRA(I)
VEGAN,40°36'16''N,015°28'09''E,"M603, P748, T237",NULL,FRA(I)
VEKEN,46°33'49''N,013°22'46''E,"Y177, Y66",NULL,
VEKET,40°19'39''N,009°20'44''E,Q123,NULL,FRA(I)
VELAD,42°03'06''N,010°45'49''E,"L12, M728, T378",NULL,FRA(I)
VELEX,39°57'59''N,011°27'32''E,"L44, M601",NULL,FRA(I)
VELUG,42°54'27''N,015°26'15''E,Z924,NULL,FRA(E)
VENIM,36°30'00''N,017°25'33''E,P3,NULL,FRA(X)
VERAK,35°54'17''N,012°25'43''E,NULL,CD sid,
VEROB,45°17'44''N,007°23'22''E,M135,"MF star, MZ star",FRA(I)
VERUN,43°16'53''N,011°55'17''E,"Q25, Z806, Z910",NULL,FRA(I)
VESAL,46°23'24''N,011°42'59''E,"M985, N503",NULL,FRA(I)
VESCU,44°48'32''N,007°37'29''E,NULL,MF star,
VESOD,36°30'00''N,015°55'37''E,L30,NULL,FRA(E)
VETUR,37°43'29''N,012°47'54''E,NULL,"CT star, CT ial",
VEVAR,44°48'00''N,007°00'45''E,Y24,NULL,
VEXUV,40°42'22''N,013°17'59''E,"M620, M729",NULL,FRA(I)
VIFOP,46°13'38''N,011°10'44''E,NULL,DT ial,
VITIF,37°10'55''N,014°41'41''E,NULL,CC star,
VOLET,45°32'16''N,011°47'01''E,NULL,"PH star, PH ial",
VOLTU,41°11'42''N,014°05'07''E,NULL,RN sid,
VULKA,38°48'00''N,015°16'36''E,NULL,NULL,FRA(I)
VUNHO,40°55'46''N,014°22'59''E,NULL,"RN sid, RN ial",
VURKE,41°16'37''N,018°05'49''E,A48,BD sid,
VUSME,37°15'50''N,015°48'06''E,M621,CC star,
XAMIT,43°18'42''N,014°47'52''E,N748,NULL,FRA(E)
XAPAT,40°36'29''N,018°17'26''E,"M603, Q772","BR star, BR sid",FRA(I)
XATOS,39°41'55''N,008°00'00''E,M871,NULL,FRA(EX)
XELGA,45°34'46''N,008°35'50''E,NULL,MC star,
XENOL,41°47'18''N,011°33'08''E,NULL,"RA sid, RF sid",
XENRU,45°21'52''N,011°00'45''E,NULL,"PX star, PO star",
XIBIL,42°47'49''N,010°59'02''E,"L153, Q705",RF star,FRA(I)
XIBRI,41°33'28''N,012°10'37''E,NULL,"RA sid, RF sid",
XITLI,40°39'07''N,009°02'58''E,NULL,EO star,
XOLTA,42°42'14''N,015°44'54''E,M725,NULL,FRA(X)
XOPTA,42°38'29''N,009°52'00''E,L146,NULL,FRA(I)
XUBKA,44°54'10''N,011°09'59''E,Y72,"PX star, PO star",
XULNU,40°53'19''N,009°46'12''E,NULL,EO star,
YAZOB,37°05'02''N,014°36'06''E,NULL,CC star,
YOSCA,37°24'49''N,014°27'14''E,NULL,CC star,
YULYA,37°19'59''N,014°40'27''E,NULL,CC star,
ZERTI,37°17'37''N,014°34'52''E,NULL,CC star,
ZICOH,37°26'25''N,014°45'27''E,NULL,CC sid,
ZOCOP,41°44'34''N,012°01'40''E,NULL,RF ial,
ZOKLE,46°15'06''N,011°03'13''E,NULL,"KC sid, KC ial",
ZUKKA,37°37'58''N,014°37'53''E,NULL,CC star,
